Date,Persistence Policy,LSTM-raw Policy,Improved LSTM Policy,y_true_h1
2006-06-10 03:15:00,-13.073238422273024,-13.147645477443758,-13.184060801559127,-13.347372757021606
2006-06-10 03:20:00,-13.370390937959478,-13.28919042227044,-13.278121799598804,-13.413144855858496
2006-06-10 03:25:00,-13.147318164653106,-13.203482431896704,-13.26698388708976,-13.45363497050611
2006-06-10 03:30:00,-13.223607138277568,-13.247931607159444,-13.278219132794971,-13.55121397417137
2006-06-10 03:35:00,-13.403838788329596,-13.354289342886617,-13.334645549069029,-13.576146567784544
2006-06-10 03:40:00,-13.426352517436836,-13.375466252057178,-13.377314772183704,-13.609584126390532
2006-06-10 03:45:00,-13.512729009927783,-13.427156474781093,-13.430563045164584,-13.639544347963962
2006-06-10 03:50:00,-13.765023545435534,-13.577726693264433,-13.54109263099917,-13.61728362352034
2006-06-10 03:55:00,-13.390258820015667,-13.41692467246433,-13.506029281158956,-13.775354597507146
2006-06-10 04:00:00,-13.809081171110163,-13.639707137075794,-13.599685892116042,-13.952730376968995
2006-06-10 04:05:00,-13.553434328326562,-13.53822776259219,-13.588793238907868,-13.930299881781416
2006-06-10 04:10:00,-13.6269777859581,-13.593711009926814,-13.567960249496494,-13.956470970678811
2006-06-10 04:15:00,-13.692490400800931,-13.629643396231772,-13.607919648100388,-14.013442736674266
2006-06-10 04:20:00,-13.631459271047428,-13.626860919507278,-13.584408541975218,-14.034861574575494
2006-06-10 04:25:00,-14.338684627799694,-14.01826257796407,-13.833633069322095,-13.93958513450646
2006-06-10 04:30:00,-14.873335761152914,-14.377227862653037,-14.119257486124296,-13.77590873384094
2006-06-10 04:35:00,-13.418851162062287,-13.663708672948664,-13.564614030164352,-13.86881506157745
2006-06-10 04:40:00,-13.784004565072802,-13.812728849848316,-13.657703048294229,-13.961373203900552
2006-06-10 04:45:00,-14.034320620950808,-13.917889344076132,-13.7710561254946,-14.016837226451058
2006-06-10 21:50:00,-12.720576756384924,-12.88123269773518,-12.8991490178577,-12.72831604737238
2006-06-10 21:55:00,-12.72722269198089,-12.883514058056814,-12.8839904520155,-12.739503426256563
2006-06-10 22:00:00,-12.78931099694946,-12.911333332506294,-12.901639468318663,-12.71794697937428
2006-06-10 22:05:00,-12.472627401524369,-12.78049575405929,-12.800661256626508,-12.763267572182388
2006-06-10 22:10:00,-12.622676870474752,-12.83514230409776,-12.824746505034426,-12.763525560112416
2006-06-10 22:15:00,-12.77283677352338,-12.874126234603876,-12.87360872903079,-12.732448421945907
2006-06-10 22:20:00,-12.985222012332638,-12.967773829542748,-12.93464180408551,-12.67500216515086
2006-06-10 22:25:00,-12.794346155821389,-12.886085784892256,-12.920463519460805,-12.653297412791096
2006-06-10 22:30:00,-12.65997272038806,-12.823781295058067,-12.871032154319778,-12.645188312121778
2006-06-10 22:35:00,-12.744551016191904,-12.853129995039849,-12.863365584093255,-12.658299152339051
2006-06-10 22:40:00,-12.624224451141526,-12.7972421888647,-12.79682026627143,-12.660048116233142
2006-06-10 22:45:00,-12.586374233618823,-12.775797332458652,-12.758696009119204,-12.702778769252433
2006-06-10 22:50:00,-12.640544934113562,-12.79347609702016,-12.781945311480884,-12.71496462271386
2006-06-10 22:55:00,-12.6641174682061,-12.798601915926664,-12.788903929904484,-12.73941236148969
2006-06-10 23:00:00,-12.611317422545351,-12.775246433983234,-12.76527233124312,-12.805503526696674
2006-06-10 23:05:00,-12.82321640440895,-12.874471933804603,-12.851254397775314,-12.780500726484656
2006-06-10 23:10:00,-12.634718407962769,-12.79457430919922,-12.800789425328135,-12.785142254288084
2006-06-10 23:15:00,-12.842758036096766,-12.875365351441268,-12.86145695208048,-12.743582954355851
2006-06-10 23:20:00,-12.71365970796872,-12.812996798266322,-12.834165101868331,-12.747467459306778
2006-06-10 23:25:00,-12.810804594687877,-12.85756551410399,-12.852478222787012,-12.75531677966018
2006-06-10 23:30:00,-13.007864124692766,-12.9584454439186,-12.95252785107281,-12.70159533201536
2006-06-11 06:05:00,-15.399380551300233,-15.08911450681767,-14.990169861580746,-15.292796844858689
2006-06-11 06:10:00,-15.731771691542669,-15.22656645174146,-15.131632983906943,-15.178061251762118
2006-06-11 06:15:00,-15.56537676185562,-15.159540354927891,-15.080958196271256,-15.072233353976186
2006-06-11 06:20:00,-15.295595279599471,-15.058259682320136,-14.988984010326837,-14.984767813601769
2006-06-11 06:25:00,-15.077218499499956,-14.970003526312546,-14.909230977585471,-14.98097073082704
2006-06-11 06:30:00,-15.107785732790866,-14.95069027927816,-14.873574723925593,-14.908628648746175
2006-06-11 06:35:00,-14.979033450776942,-14.890428993718144,-14.806089948129712,-14.863532682363028
2006-06-11 06:40:00,-15.043357207860865,-14.888845565333616,-14.804993186917043,-14.80664327939006
2006-06-11 06:45:00,-14.930410878431408,-14.8326327591238,-14.764402205633376,-14.62239202330082
2006-06-11 06:50:00,-14.770801227888366,-14.749562495859402,-14.69139361466947,-14.628122801353868
2006-06-11 06:55:00,-15.054436581040587,-14.846708076405353,-14.723321694345032,-14.61451153856053
2006-06-11 07:00:00,-14.673733009030084,-14.691348114983132,-14.60396755674429,-14.569777865402294
2006-06-11 07:05:00,-14.70845753684025,-14.648571958489851,-14.569872007083648,-14.485371754281468
2006-06-11 07:10:00,-14.702020327471852,-14.61170373715801,-14.557814030548824,-14.444281654719513
2006-06-11 07:15:00,-13.824902821525876,-14.30863793806191,-14.195229076945465,-14.588347561387785
2006-06-11 07:20:00,-14.805185896206666,-14.58551131308666,-14.478048204198402,-14.56709148368894
2006-06-11 07:25:00,-14.972769582469551,-14.638954478367692,-14.544192907598486,-14.51328232477342
2006-06-11 07:30:00,-14.405331027899567,-14.43086183030276,-14.323077705736925,-14.542918673780722
2006-06-11 07:35:00,-14.202021043571994,-14.333635418935163,-14.257048784498792,-14.624186375031098
2006-06-11 07:40:00,-14.45547961446232,-14.390307711940125,-14.302744648406684,-14.629605624853086
2006-06-11 07:45:00,-14.68929785680321,-14.472425408833564,-14.327100249035054,-14.60808600860985
2006-06-11 07:50:00,-14.677649661289191,-14.440256302929152,-14.367324518960972,-14.603292821832763
2006-06-11 07:55:00,-14.649914744614234,-14.446542315875089,-14.37095604304415,-14.596377681440243
2006-06-11 08:00:00,-14.58314894848668,-14.415287847143498,-14.365182403582931,-14.578985525164068
2006-06-11 08:05:00,-14.689627655806545,-14.455076269818692,-14.39567190007297,-14.52989057240878
2006-06-11 08:10:00,-14.487995229032054,-14.436242283643114,-14.280067685591934,-14.498678311473896
2006-06-11 08:15:00,-14.560180506257192,-14.420503979171182,-14.337088161471929,-14.3933111724989
2006-06-11 08:20:00,-14.64889019371327,-14.432905497128129,-14.369236930903698,-14.375747351909803
2006-06-11 08:25:00,-14.60842390225913,-14.450387330517588,-14.324028910570204,-14.32080291890058
2006-06-11 08:30:00,-14.47879601082962,-14.416581198108718,-14.266960749420091,-14.313503051550104
2006-06-11 08:35:00,-14.39505759236141,-14.374488403189847,-14.239887611770024,-14.312943075507448
2006-06-11 08:40:00,-14.300721779060565,-14.320006347920748,-14.186969581091988,-14.534514002896632
2006-06-11 08:45:00,-13.927977730226113,-14.168687638486276,-14.027016727889375,-14.608203727889444
2006-06-11 08:50:00,-14.54350738581648,-14.373432687901996,-14.190851452843274,-14.583589759777254
2006-06-11 08:55:00,-14.278756899471489,-14.26694120260532,-14.086665418138754,-14.58000198141909
2006-06-11 09:00:00,-14.434996922364563,-14.30871801723786,-14.110026083051984,-14.618213335788711
2006-06-11 09:05:00,-14.39169790956218,-14.29531513375869,-14.104274948712147,-14.55140220964387
2006-06-11 09:10:00,-15.63014757467127,-14.96636787390551,-14.69630601163018,-14.315603843448278
2006-06-11 09:15:00,-14.370115386356174,-14.318109483281471,-14.098957575872063,-14.314665327069925
2006-06-11 09:20:00,-14.39582340368665,-14.31879457942287,-14.076362434002505,-14.282421461328324
2006-06-11 09:25:00,-14.257230691873698,-14.265664330026487,-14.059246097058198,-14.563315562631466
2006-06-11 09:30:00,-14.6642648173067,-14.428566015256225,-14.176063203830465,-14.551579135476654
2006-06-12 00:20:00,-12.925235193089035,-12.950675566733253,-12.977879201555078,-12.748006389269978
