Date,Improved LSTM Policy,LSTM-raw Policy,TCN Policy,TFT Policy,PatchTST Policy,y_true_h1,Persistence Policy,pass_id,pass_phase,elevation_deg,slant_range_km,airmass,clear_snr_db
2021-06-19 18:50:00,-13.063125635566578,-13.02382370209348,-13.081994318958492,-13.055734564080517,-13.072386434863336,-13.093108970360165,-12.944221077018598,0,0.013888888888888888,13.908664235895905,2288.0931329534924,4.160169332642714,9.459771369219304
2021-06-19 18:55:00,-13.1031459637336,-13.064682583875925,-13.09747051522188,-13.06391090147513,-13.095772745147446,-13.11468507219207,-12.958709490357364,0,0.041666666666666664,18.732096909021678,1712.6296804120188,3.113872146203671,12.028290858350662
2021-06-19 19:00:00,-13.111701253643714,-13.06688181245067,-13.13410571258558,-13.070671480645828,-13.124996226792288,-13.14794031434884,-12.972867014443736,0,0.06944444444444445,24.04301710572997,1349.9502910529386,2.454455074641707,14.128175499124909
2021-06-19 19:05:00,-13.12583307420644,-13.097582925403612,-13.152637924059336,-13.099826574634992,-13.185268634559504,-13.15468545395952,-13.010566727310009,0,0.09722222222222222,29.57766222505968,1114.2561473758838,2.0259202679561525,15.81625700094478
2021-06-19 19:10:00,-13.171669144439026,-13.13671533484391,-13.188810603379292,-13.128280229931304,-13.220767701286304,-13.168689047667849,-13.052846784829226,0,0.125,35.193358967187336,954.3017862880095,1.73509415688729,17.176784347000584
2021-06-19 19:15:00,-13.157082336616073,-13.11205652817508,-13.20227038147361,-13.13344704525391,-13.20214387012588,-13.206784053977549,-13.062278727723488,0,0.1527777777777778,40.784883744963764,841.9816786935072,1.5308757794427403,18.27465717160573
2021-06-19 19:20:00,-13.177022455690002,-13.138313362500586,-13.184967112455173,-13.143377444602804,-13.215370717306234,-13.238809045241709,-13.093108970360165,0,0.18055555555555555,46.2647085880108,761.2019950774791,1.3840036274135983,19.15805525084395
2021-06-19 19:25:00,-13.212089243812647,-13.157393715007371,-13.22767063843413,-13.176250942911183,-13.243389506200192,-13.277862409175205,-13.11468507219207,0,0.20833333333333334,51.55598805017222,702.2327649706288,1.2767868454011433,19.863792666931527
2021-06-19 19:30:00,-13.236707782183492,-13.1937546333141,-13.259854881054649,-13.195711505180224,-13.30046729163348,-13.305365194016655,-13.14794031434884,0,0.2361111111111111,56.589631983678515,658.8812958918049,1.1979659925305546,20.421211908021377
2021-06-19 19:35:00,-13.251561409446214,-13.190376766470944,-13.255314530968189,-13.180887899284205,-13.25171616850121,-13.34214914616201,-13.15468545395952,0,0.2638888888888889,61.30302393660706,627.0153502079979,1.1400279094690873,20.854688932533097
2021-06-19 19:40:00,-13.28046657737484,-13.232606563272425,-13.2398457055682,-13.203221237390276,-13.29139650650758,-13.346655825795544,-13.168689047667849,0,0.2916666666666667,65.63949652769072,603.7532271149208,1.097733140208947,21.185177830703115
2021-06-19 19:45:00,-13.289387502816483,-13.250812231466014,-13.298104777263072,-13.219530064992105,-13.334317204000255,-13.303961022731851,-13.206784053977549,0,0.3194444444444444,69.54818229029615,587.000796114409,1.0672741747534709,21.431116276029314
2021-06-19 19:50:00,-13.31114293324805,-13.278365466703695,-13.28431158027094,-13.229394112032214,-13.365170853126228,-13.275002325179884,-13.238809045241709,0,0.3472222222222222,72.98405557930008,575.1794243398531,1.0457807715270055,21.60889791505997
2021-06-19 19:55:00,-13.33361809141814,-13.313369939171013,-13.348352025745232,-13.28587913175866,-13.37917257867687,-13.269521673904228,-13.277862409175205,0,0.375,75.90806788230319,567.06508111847,1.0310274202154,21.733044318665424
2021-06-19 20:00:00,-13.34336362311618,-13.327033340157069,-13.351888717201286,-13.306143946815142,-13.421463234538136,-13.280893491386108,-13.305365194016655,0,0.4027777777777778,78.28732091574973,561.6956771060345,1.0212648674655171,21.816168916637658
2021-06-19 20:05:00,-13.358677413235524,-13.334563948281131,-13.32697189874295,-13.305410640405189,-13.433422500383095,-13.306885452765446,-13.34214914616201,0,0.4305555555555556,80.09524395594458,558.321757226534,1.0151304676846076,21.86880622268163
2021-06-19 20:10:00,-13.334534927965272,-13.319154850168816,-13.305426123579783,-13.275668988517213,-13.38024142656069,-13.31307805384685,-13.346655825795544,0,0.4583333333333333,81.31175430298669,556.3845700490554,1.0116083091801007,21.899171826367546
2021-06-19 20:15:00,-13.291151567046937,-13.262937172716708,-13.208618046912042,-13.227291104390943,-13.313782269334396,-13.348797446875054,-13.303961022731851,0,0.4861111111111111,81.92338730807863,555.5100547469376,1.0100182813580683,21.91291439402028
2021-06-19 20:20:00,-13.295245216642668,-13.28103344755225,-13.226255897883664,-13.20818475063444,-13.244720652146036,-13.391184331029889,-13.275002325179884,0,0.5138888888888888,81.92338730807863,555.5100547469376,1.0100182813580683,21.91291439402028
2021-06-19 20:25:00,-13.338711910478173,-13.338177586142145,-13.304407781375348,-13.257761919304125,-13.367218208568106,-13.3932592581531,-13.269521673904228,0,0.5416666666666666,81.3117543029867,556.3845700490554,1.0116083091801007,21.899171826367546
2021-06-19 20:30:00,-13.36937540732046,-13.379687443687857,-13.378286788438984,-13.331751794620782,-13.41635281286272,-13.377395786259228,-13.280893491386108,0,0.5694444444444444,80.09524395594458,558.321757226534,1.0151304676846076,21.86880622268163
2021-06-19 20:35:00,-13.410424705110346,-13.409427006658312,-13.424052900891144,-13.38272500772588,-13.410824607160675,-13.325343955605211,-13.306885452765446,0,0.5972222222222222,78.28732091574973,561.6956771060345,1.0212648674655171,21.816168916637658
2021-06-19 20:40:00,-13.38898491336765,-13.364972808378669,-13.358301862656976,-13.343135766031264,-13.381083413225753,-13.32830564702518,-13.31307805384685,0,0.625,75.90806788230319,567.06508111847,1.0310274202154,21.733044318665424
2021-06-19 20:45:00,-13.379513172172494,-13.355410162255415,-13.295234923602656,-13.29234627205984,-13.36834369724838,-13.351875371140933,-13.348797446875054,0,0.6527777777777778,72.98405557930008,575.1794243398531,1.0457807715270055,21.60889791505997
2021-06-19 20:50:00,-13.408177791174491,-13.385812951368496,-13.3570271539729,-13.329018963420983,-13.400874181452153,-13.312504769317432,-13.391184331029889,0,0.6805555555555556,69.54818229029615,587.000796114409,1.0672741747534709,21.431116276029314
2021-06-19 20:55:00,-13.403213543751628,-13.381051709533438,-13.36487894076688,-13.341335080094892,-13.42554684551222,-13.310340744883884,-13.3932592581531,0,0.7083333333333334,65.63949652769072,603.7532271149208,1.097733140208947,21.185177830703115
